model_id,alternative_name,category,split,quality,sysml_path,source_text_path,likert_score,similarity_percent,source_structure_score,source_behavior_score,source_data_score,token_recall_percent,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,tradespace_score,recommendation,source_keys
1,sysml_model_0001,automotive,official,A+,data/000001/000001.sysml,data/000001/000001.txt,2,43.3,41,41,41.7,50,38.5,Mostly Structural,51.3,53.8,27.7,24.5,16.7,100.0%,39.6,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
2,sysml_model_0002,automotive,official,A+,data/000002/000002.sysml,data/000002/000002.txt,2,41.4,75,0,22.4,51.5,58.4,Behavior-Partially Ready,69.3,63.3,50.2,47.0,56.2,100.0%,54.2,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
3,sysml_model_0003,automotive,official,A+,data/000003/000003.sysml,data/000003/000003.txt,3,64.9,79.3,,24.2,73,47.1,Mostly Structural,66.9,60.4,0.0,60.0,62.5,N/A,51.6,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
4,sysml_model_0004,automotive,official,A+,data/000004/000004.sysml,data/000004/000004.txt,3,55.6,61.5,56.8,37.6,57.2,65.4,Behavior-Partially Ready,87.5,66.0,56.6,42.0,65.5,100.0%,63.2,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
5,sysml_model_0005,industrial,official,A+,data/000005/000005.sysml,data/000005/000005.txt,1,10.7,12.8,10.7,0,14.3,68.9,Behavior-Partially Ready,59.1,72.5,67.4,87.5,60.1,100.0%,54.1,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
6,sysml_model_0006,industrial,official,A+,data/000006/000006.sysml,data/000006/000006.txt,3,48.5,39.8,65.9,41.4,46.3,68.9,Behavior-Partially Ready,77.5,58.8,68.0,81.5,55.7,100.0%,63.5,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
7,sysml_model_0007,industrial,official,A+,data/000007/000007.sysml,data/000007/000007.txt,2,31.6,43.4,0,36.1,47,24.9,Not Ready,67.8,0.0,0.0,22.5,45.9,N/A,26.8,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
8,sysml_model_0008,industrial,official,A+,data/000008/000008.sysml,data/000008/000008.txt,1,16.8,14.4,18.9,,18.5,69.1,Behavior-Partially Ready,56.3,75.0,70.6,90.5,50.1,100.0%,55.6,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
9,sysml_model_0009,software,official,A+,data/000009/000009.sysml,data/000009/000009.txt,2,34.5,32.8,,,40,9.3,Not Ready,34.4,0.0,0.0,2.5,2.9,N/A,15.6,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
10,sysml_model_0010,software,official,A+,data/000010/000010.sysml,data/000010/000010.txt,4,67.5,66.3,,,71.4,11.6,Not Ready,36.9,0.0,0.0,7.5,12.3,N/A,25.6,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
